Game,Genre,metascore,userscore,id
Call of Duty: Advanced Warfare - Reckoning,Action,75.0,58.0,496
Call of Duty: Advanced Warfare - Supremacy,Action,71.0,64.0,497
Call of Duty: Black Ops 4,Action,83.66666666666667,37.666666666666664,498
Call of Duty: Black Ops Declassified,Shooter,33.0,49.0,499
Call of Duty: Black Ops II,Action,77.5,56.5,500
Call of Duty: Black Ops III,Action,78.33333333333333,41.0,501
Call of Duty: Black Ops III - Awakening,Action,74.0,54.0,502
Call of Duty: Black Ops III - Eclipse,Action,74.0,38.0,503
Call of Duty: Black Ops III - Zombies Chronicles,Action,78.0,60.0,504
Call of Duty: Ghosts,Action,74.66666666666667,34.0,505
